1.55944,42.52194,"Höhe BP, beidseitig","[15650]"
1.48217,42.44667,"N","[27011-]"
1.56756,42.52689,"[83701-]","[83701-]"
1.56761,42.52686,"[83702-]","[83702-]"
1.65989,42.58025,"[86671-]","[86671-]"
4.42194,50.69750,"SW","[49767-]"
4.33317,50.65317,"> Ophain","[64011-]"
4.33764,50.65686,"> Bois-Seigneur-Isaac","[64012-]"
4.45528,50.41278,"N","[83623-]"
17.19231,44.78347,"beidseitig, TraffiStar SR520","[43996]"
18.21917,43.84292,"beidseitig","[24515]"
17.70756,44.19692,"[51982-]","[51982-]"
17.19844,44.80400,"beidseitig, TraffiStar SR520","[43995-]"
18.07444,44.48581,"beidseitig","[24531]"
18.07314,44.66039,"beidseitig","[24533]"
16.72747,44.70039,">Sanski Most-Kljuc","[70591-]"
17.29139,45.10500,"Rtg. Banja Luka","[29532-]"
17.27478,43.98675,"beidseitig","[29058]"
17.67336,43.36122,"beidseitig","[27554]"
17.01619,43.82067,"beidseitig","[29059]"
16.97500,43.83939,"beidseitig","[29232]"
17.81500,43.32917,"to city","[29739-]"
18.34583,43.82467,"bs","[36747-]"
16.74475,44.55258,">Bihac-Kljuc-Bihac","[86142-]"
27.56956,42.44403,"from Sozopol to Bourgas","[28862-]"
25.21594,43.04275,"[28866-]","[28866-]"
25.09117,43.03569,"[28870-]","[28870-]"
24.14125,43.06653,"[28871-]","[28871-]"
23.10308,41.93417,"[28873-]","[28873-]"
24.42383,41.73375,"[28874-]","[28874-]"
23.48150,41.85006,"[28875-]","[28875-]"
23.06442,42.20033,"[28876-]","[28876-]"
23.09508,42.34969,"[28971-]","[28971-]"
24.77542,43.04792,"[28982-]","[28982-]"
25.64872,43.07075,"[28985-]","[28985-]"
23.07836,42.00611,"[49786-]","[49786-]"
23.09675,41.94736,"[64864-]","[64864-]"
25.65708,42.35650,"[64872-]","[64872-]"
23.24044,43.39550,"[64873-]","[64873-]"
27.58622,42.44364,"[64876-]","[64876-]"
23.99514,42.67122,"[64878-]","[64878-]"
25.68406,43.07603,"[64879-]","[64879-]"
25.48239,43.08933,"[64880-]","[64880-]"
25.87283,43.64111,"[64883-]","[64883-]"
25.64889,42.38531,"[64885-]","[64885-]"
23.60889,43.17417,"[65291-]","[65291-]"
26.55778,43.25444,"[65294-]","[65294-]"
10.10625,48.86389,"zw. den beiden Tunneln, drehbar","[2766]"
10.53058,51.84286,"n. Kurve Marienteich zw. Torfhaus und Bad Harzburg in Rtg. Bad Harzburg, LKW 20km/h","[8301]"
7.24411,50.64642,"OE aus Rtg. Aegidienberg, drehbar, inaktiv(?)","[1293]"
12.68378,50.78769,"Sachsenring in Höhe Verkehrssicherheits-Zentrum in Rtg. A4","[3108]"
12.68192,50.78972,"Sachsenring in Höhe Verkehrssicherheits-Zentrum in Rtg. Oberlungwitz","[3569]"
8.50403,51.98033,"Höhe 'TOTAL', beidseitig","[58]"
8.46644,51.98081,"Ortsmitte, drehbar, keine Sensoren","[2850]"
8.58103,51.95603,"drehbar","[1751]"
9.10708,48.94011,"OE aus Rtg. Tamm vor Gottlob-Grotz-Tunnel","[2698]"
10.62139,51.71383,"Höhe Kreuzung 'Braunlage-Süd' nach Tunnel in Rtg. Nordhausen","[8230]"
8.86003,50.07422,"Rtg. Offenbach, alle Spuren","[24718]"
8.61522,53.58225,"300m vor AS6 (Überseehäfen) A27 aus Rtg. Hafen","[8307]"
13.01922,52.60797,"zw. Alt Brieselang und Falkensee in Rtg. A10 in S-Kurve","[3232]"
8.14881,50.75919,"Höhe Abzweig Burbach in Rtg. A45","[2806]"
14.15217,51.81972,"zw. Burg und Werben in Rtg. Burg","[2884]"
12.99975,50.77756,"n. Ende Ausbaustrecke B174 Höhe Parkbucht 'Schwarzes Holz' in Rtg. Chemnitz, inaktiv","[3840]"
9.05958,48.81992,"aus Rtg. Siemensstr. vor Tunneleinfahrt","[8205]"
6.50272,50.79239,"200m vor Feuerwache stadteinwärts","[3134]"
6.50042,50.79525,"200m vor Feuerwache stadtauswärts","[3418]"
6.75061,51.20033,"200m vor Abzweig Völklinger Str. stadteinwärts","[91]"
6.99153,51.39892,"vor Gaststätte in Rtg. Werden, außer Betrieb","[859]"
9.57411,50.42544,"vor OE aus Rtg.  Fulda","[8112]"
14.44858,52.28153,"Abzweig Hohenwalde in Rtg. Müllrose, Mast angefahren (10.2009)","[1021]"
14.52028,52.37978,"Abzweig 'Siedlung Hexenberg' in Rtg. Lebus","[1020]"
7.81147,48.02558,"Rtg. Hugstetten","[8310]"
7.81558,47.98381,"300m n. 'JET', stadtauswärts","[1827]"
9.60778,50.54031,"Höhe Bushaltestelle, beidseitig","[8340]"
7.09281,51.51672,"n. Gesundheitsamt vor Ecke Grenzstr. in Rtg. G-Buer","[578]"
7.08992,51.52133,"n. Berliner Brücke vor Kreuzung Grillostr., stadteinwärts","[8201]"
7.54489,51.35333,"Höhe Bushaltestelle Holthausen in Rtg. A45","[155]"
7.51575,51.19758,"OA in Rtg. Lüdenscheid n. Bushaltestelle, keine Kontaktschleifen wegen neuem Belag","[1288]"
10.02481,53.53031,"vor der 'Neuen Elbbrücke' in Rtg. HH-Zentrum","[3750]"
7.70753,51.33964,"OA in Rtg. Iserlohn","[3847]"
8.45636,49.00194,"OE aus Rtg. Groetzingen","[185]"
11.38417,53.32669,"Höhe Schule vor Fußgängerampel in Rtg. Ludwigslust","[3698]"
10.06106,48.48219,"OE aus Rtg. Langenau","[1252]"
10.05706,48.48175,"Ortsmitte hinter 'Gasthaus Krone' aus Rtg. Ulm, PoliScan Speed, beidseitig techn. möglich","[3577]"
6.99178,51.01614,"unter Rohrbrücke, stadteinwärts","[1479]"
6.99339,51.04469,"200m vor Ecke Küppersteger Str. in Rtg. Opladen","[3004]"
7.43297,51.03358,"Rtg. Engelskirchen","[8304]"
14.67464,51.10386,"Höhe Polizei in Rtg. Görlitz, Testanlage","[2000]"
14.53794,51.72550,"Ortsmitte in Rtg. Cottbus, drehbar","[927]"
7.63200,51.11658,"zw. Kierspe und Meinerzhagen an Bushaltestelle 'Ölmühle', drehbar","[1903]"
6.86450,51.49897,"Höhe Ausfahrt Oberhausen/Eisenheim vor A42, stadteinwärts","[3441]"
6.86192,51.49325,"n. Schloß Oberhausen in Rtg. A516","[3628]"
9.03147,48.41242,"Ende Ausbaustrecke an Einmündung L385/Mössingen aus Rtg. Hechingen","[2871]"
7.38131,51.69817,"Abfahrt Gewerbegebiet 'Hafen' in Rtg. Lüdinghausen","[1783]"
8.84292,48.72892,"vor OE aus Rtg. Althengstett","[3422]"
12.35417,54.25967,"Rtg. Wustrow vor Abzweig Ribnitz-Damgarten","[3062]"
10.79183,53.91175,"Höhe Shell in Rtg. Lübeck, alle Spuren, KM 8.9","[2735]"
14.29803,52.19575,"Ortsmitte, drehbar, außer Betrieb","[2095]"
8.87078,50.01617,"vor Ampelkreuzung Rodgau-Ring-Str. in Rtg. Dietzenbach","[3044]"
8.86869,50.01603,"vor Ampelkreuzung Rodgau-Ring-Str. in Rtg. Rodgau","[3659]"
7.21742,52.01467,"Kreuzung L577 in Rtg. Coesfeld","[2832]"
7.21556,52.01400,"Kreuzung L577 in Rtg. Darfeld","[3843]"
7.43058,50.84278,"300m n. OA in Rtg. Hennef","[3820]"
9.10914,48.74008,"n. Johannesgrabentunnel aus Rtg. A831, beide Spuren","[485]"
9.97825,48.39564,"Tunnelausfahrt in Rtg. A8","[3829]"
9.97722,48.39917,"n. 'Blaubeurer Tor' in Rtg. Neu-Ulm, Bauarbeiten","[3836]"
7.11006,50.64969,"kurz hinter Brücke in Rtg. Bad Godesberg","[3553]"
9.13861,48.76561,"200m n. Kreuzung Jägerhausweg, stadteinwärts","[23984]"
10.78858,53.91031,"100m vor Shell in Rtg. Travemünde, alle Spuren","[3270]"
10.36583,51.20878,"Rtg. Mühlhausen, inaktiv","[2293]"
7.53947,51.73900,"Abzweig Nordkirchen in Rtg. Lüdinghausen","[7415]"
7.53869,51.73975,"Abzweig Nordkirchen in Rtg. Werne","[1043]"
8.77117,53.06167,"vor Ausfahrt Grolland in Rtg. Delmenhorst, durch Kurve versteckt","[1072]"
9.76194,50.66122,"OE aus Rtg. Mackenzell","[1121]"
10.37242,51.20858,"Rtg. Eigenrieden, beidseitig (?)","[1320-]"
13.59564,54.36950,"Höhe Abzweig Putbus/L29 aus Rtg. Bergen","[1317]"
12.71725,52.63244,"OE aus Rtg. Nauen","[23511]"
14.51992,52.38069,"Abzweig 'Siedlung Hexenberg' in Rtg. Frankfurt","[5829]"
10.35536,52.04564,"Höhe Abzweig B248 in Rtg. Hildesheim","[2558]"
10.35442,52.04608,"Höhe Abzweig B248 aus Rtg. Hildesheim","[2613]"
13.87447,52.70231,"Höhe Abzweig Freudenberg in Rtg. Berlin","[2676]"
10.55850,51.88819,"OE aus Rtg. Braunschweig","[3151]"
7.26494,51.95211,"vor Abzweig K52 in Rtg. Billerbeck","[3786]"
9.80969,50.53856,"Höhe Bushaltestelle in Rtg. Fulda","[5832]"
8.85728,50.07586,"aus Rtg. Offenbach, alle Spuren","[24719]"
9.80989,50.53844,"Höhe Bushaltestelle in Rtg. Friesenhausen","[8708]"
14.47764,52.30069,"Höhe Krankenhaus in Rtg. Müllrose","[26905]"
14.35878,51.75822,"nach Bahnbrücke in Rtg. Peitz","[5321]"
14.14703,51.82253,"zw. Burg und Werben in Rtg. Werben","[11315]"
10.18383,52.10650,"Höhe Abfahrt A39, beidseitig","[10973]"
13.70722,52.18328,"OE in Rtg. Königs Wusterhausen","[15499]"
9.79364,50.45469,"Orstmitte n. Rechtskurve in Rtg. Gersfeld","[15384]"
7.05769,51.74392,"Rtg. Lippramsdorf, Nähe Napoleonsweg, mobil(?)","[15848-]"
7.38236,51.69831,"Abfahrt Gewerbegebiet 'Hafen' in Rtg. Datteln","[15866]"
9.83650,50.59242,"Höhe Morleser Str. in Rtg. Fulda","[9566]"
11.39939,53.71761,"Höhe Abzweig 'Klein Trebbow' in Rtg. Schwerin","[24554]"
11.53881,53.35433,"Abzweig K38/Groß-Laasch in Rtg. Ludwigslust","[18799]"
10.01506,48.30750,"nach Bushaltestelle in Rtg. Oberkirchberg, nur Kopf","[19030]"
6.96819,50.95844,"nach 'Zoobrücke' in Rtg. Innenstadt","[19217]"
9.30364,48.82119,"zw. Mayennerstr. und Ruhrstr., beidseitig","[21634]"
12.99542,50.78011,"B174 Höhe 'Einsiedler Weg' aus Rtg. Chemnitz, kein TÜV","[20584]"
8.21297,50.04144,"Höhe AS 'Wiesbaden-Äppelallee' auf Mittelstreifen in Rtg. Mainz, PoliScan","[23804]"
10.00492,51.55533,"200m vor Fußgängerampel in Rtg. Gieboldehausen","[22217]"
13.70967,53.88797,"Höhe Imbiss in Rtg. Anklam","[22835]"
12.71683,53.53333,"Höhe Abzweig Rügeband in Rtg. Malchin, drehbar","[24701]"
9.10850,48.94322,"Höhe Nothaltebucht in Rtg. Bietigheim-Bissingen, Infrarot","[26022]"
9.10847,48.94322,"Höhe Nothaltebucht in Rtg. Ludwigsburg","[26021]"
9.10703,48.94017,"OA in Rtg. Tamm nach Gottlob-Grotz-Tunnel","[26946]"
13.57819,52.33067,"Höhe Försterei in Rtg. Waltersdorf","[27034]"
8.45731,50.26578,"Höhe Bushaltestelle, beidseitig, PoliScan, Front Heck für Motorradfahrer, 3 Geräte","[27486]"
7.69039,52.72494,"Rtg. Löningen","[29056]"
7.69369,52.72519,"OE aus Rtg. Löningen","[29057]"
8.40625,48.97794,"PoliScan Speed, Rtg. Süden","[63920]"
8.76800,48.71083,"Rtg. Althengstett","[44427]"
10.41528,51.92028,"Rtg. Salzgitter","[49972]"
11.29956,50.71725,"100m nach Eingang Pörzbergtunnel aus Rtg. Rudolstadt","[53021-]"
11.28858,50.71717,"100m nach Eingang Pörzbergtunnel in Rtg. Rudolstadt","[53482-]"
8.40467,48.96811,"PoliScan Speed, Rtg. Karlsruhe","[54270]"
11.16331,53.90403,"Höhe Abzweig Kussow in Rtg. Grevesmühlen","[63441]"
12.87419,50.85678,"Höhe ARAL, stadteinwärts","[63856]"
8.47589,49.33961,"Baustelle an Rheinbrücke, NW","[63919-]"
8.47575,49.33942,"Baustelle an Rheinbrücke, SO","[63938-]"
11.84644,50.87994,"Richtung Nürnberg, direkt neben dem Blitzer für die Hauptfahrbahn der A9, Traffitower ","[64938]"
7.42794,51.38181,"Rtg. Hagen","[65371]"
7.42856,51.38211,"Rtg. Wetter","[65372]"
7.49014,51.37047,"[84064-]","[84064-]"
7.49181,51.37100,"[84170-]","[84170-]"
9.75133,50.69158,"Poliscan, beidseitig","[86080]"
6.84967,50.94981,"FR Koblenz, inaktiv","[86144-]"
24.78775,60.28650,"NW","[2873]"
25.67542,61.02653,"S","[5880]"
24.28694,60.09700,"O","[5879]"
22.15589,61.29633,"NW","[5909]"
22.73714,60.70692,"[43327-]","[43327-]"
21.70700,61.26339,"S","[8835]"
22.38083,62.97342,"O","[8841]"
25.65811,64.50967,"S","[8937]"
25.28022,60.62822,"O","[9318]"
24.30472,60.34167,"NO","[3943]"
21.56519,61.13522,"W","[22136]"
21.72725,61.20342,"S","[9101]"
21.73594,61.42989,"S","[9170]"
21.73675,61.43122,"N","[9152]"
25.54917,61.17028,"NW","[5889]"
22.26025,60.28772,"SW","[5891]"
25.66833,61.05167,"S","[5883]"
25.67608,61.02539,"N","[5881]"
22.30578,60.30850,"NO","[5894]"
24.98139,60.43806,"NW","[5897]"
22.80817,62.81972,"N","[8861]"
25.28514,60.62714,"NW","[9349]"
22.17000,63.00758,"W","[8843]"
22.14272,63.00408,"O","[8844]"
21.68867,60.87617,"NW","[8948]"
24.47400,64.66325,"SW","[9738]"
24.52375,64.67881,"NO","[9739]"
21.75642,61.46481,"N","[9743]"
26.86361,60.95961,"S","[9766]"
26.79292,60.92419,"SW","[9794]"
