-45.88178, -23.18922, "[75291-]"
-45.87597, -23.17881, "[75290-]"
-45.03758, -22.06594, "[75287-]"
-47.62656, -22.36850, "[75180-]"
-44.87953, -22.58508, "[75167-]"
-43.16833, -22.90864, "[75160-]"
-51.12000, -29.66225, "[75125-]"
-51.04103, -29.65183, "[75123-]"
-44.17069, -22.56258, "[75120-]"
-51.02575, -29.34547, "[75065-]"
-51.02622, -29.34408, "[75064-]"
-50.26408, -29.92664, "[75054-]"
-47.86306, -15.77750, "[75037-]"
-47.92114, -15.83164, "[75027-]"
-47.90489, -15.81986, "[75026-]"
-48.04767, -16.00544, "[74995-]"
-48.04161, -16.00758, "[74994-]"
-47.95411, -15.84519, "[74987-]"
-48.09019, -21.87925, "[74970-]"
-51.36056, -29.54603, "[74919-]"
-51.35133, -29.43269, "[74918-]"
-38.43672, -12.96456, "[74902-]"
-47.89389, -15.81097, "[74879-]"
-47.89250, -15.80972, "[74878-]"
-47.88747, -15.70347, "[74794-]"
-51.36075, -29.55822, "[74691-]"
-38.38753, -12.92847, "[74673-]"
-50.07139, -23.03722, "[74666-]"
-43.50383, -23.01975, "[74603-]"
-47.10169, -22.97025, "[74601-]"
-48.05794, -15.74022, "[74572-]"
-47.68692, -22.27819, "[74566-]"
-46.82958, -23.62208, "[74518-]"
-45.90086, -23.21558, "[74515-]"
-47.85319, -15.79661, "[74498-]"
-47.85800, -15.79183, "[74497-]"
-47.43167, -22.56514, "[74481-]"
-46.98869, -23.19053, "[74468-]"
-46.68722, -24.12728, "[74467-]"
-48.00608, -15.78661, "[74418-]"
-48.04911, -15.91717, "[74403-]"
-47.88867, -15.80525, "[74357-]"
-49.21425, -16.71225, "[74326-]"
-47.83411, -15.73689, "[74280-]"
-47.79794, -15.89067, "[74183-]"
-47.79244, -15.89325, "[74182-]"
-48.04867, -15.79128, "[74166-]"
-47.96947, -15.79575, "[74165-]"
-47.94742, -15.78803, "[74164-]"
-49.32986, -28.71756, "[74155-]"
-48.50583, -23.09400, "[74120-]"
-46.47069, -23.11006, "[74117-]"
-48.66994, -23.92714, "[74090-]"
-50.03861, -29.75364, "[74070-]"
-44.02108, -19.93339, "[74065-]"
-47.78178, -21.22181, "[74054-]"
-43.47517, -23.01667, "[74003-]"
-43.47525, -23.01642, "[74002-]"
-43.99394, -19.93169, "[73999-]"
-51.35356, -29.46911, "[73992-]"
-43.23542, -22.82836, "[73985-]"
-50.20372, -29.98078, "[73979-]"
-53.64597, -28.60758, "[73973-]"
